video_id,subject,action,camera,repetition,setup
S003C001P003R001A001,003,001,001,001,003
S003C001P003R001A002,003,002,001,001,003
S003C001P003R001A003,003,003,001,001,003
S003C001P003R001A004,003,004,001,001,003
S003C001P003R001A005,003,005,001,001,003
S003C001P003R001A006,003,006,001,001,003
S003C001P003R001A007,003,007,001,001,003
S003C001P003R001A008,003,008,001,001,003
S003C001P003R001A009,003,009,001,001,003
S003C001P003R001A010,003,010,001,001,003
S003C001P003R002A001,003,001,001,002,003
S003C001P003R002A002,003,002,001,002,003
S003C001P003R002A003,003,003,001,002,003
S003C001P003R002A004,003,004,001,002,003
S003C001P003R002A005,003,005,001,002,003
S003C001P003R002A006,003,006,001,002,003
S003C001P003R002A007,003,007,001,002,003
S003C001P003R002A008,003,008,001,002,003
S003C001P003R002A009,003,009,001,002,003
S003C001P003R002A010,003,010,001,002,003
S003C001P003R003A001,003,001,001,003,003
S003C001P003R003A002,003,002,001,003,003
S003C001P003R003A003,003,003,001,003,003
S003C001P003R003A004,003,004,001,003,003
S003C001P003R003A005,003,005,001,003,003
S003C001P003R003A006,003,006,001,003,003
S003C001P003R003A007,003,007,001,003,003
S003C001P003R003A008,003,008,001,003,003
S003C001P003R003A009,003,009,001,003,003
S003C001P003R003A010,003,010,001,003,003
S003C001P003R004A001,003,001,001,004,003
S003C001P003R004A002,003,002,001,004,003
S003C001P003R004A003,003,003,001,004,003
S003C001P003R004A004,003,004,001,004,003
S003C001P003R004A005,003,005,001,004,003
S003C001P003R004A006,003,006,001,004,003
S003C001P003R004A007,003,007,001,004,003
S003C001P003R004A008,003,008,001,004,003
S003C001P003R004A009,003,009,001,004,003
S003C001P003R004A010,003,010,001,004,003
S003C001P003R005A001,003,001,001,005,003
S003C001P003R005A002,003,002,001,005,003
S003C001P003R005A003,003,003,001,005,003
S003C001P003R005A004,003,004,001,005,003
S003C001P003R005A005,003,005,001,005,003
S003C001P003R005A006,003,006,001,005,003
S003C001P003R005A007,003,007,001,005,003
S003C001P003R005A008,003,008,001,005,003
S003C001P003R005A009,003,009,001,005,003
S003C001P003R005A010,003,010,001,005,003
S003C001P003R006A001,003,001,001,006,003
S003C001P003R006A002,003,002,001,006,003
S003C001P003R006A003,003,003,001,006,003
S003C001P003R006A004,003,004,001,006,003
S003C001P003R006A005,003,005,001,006,003
S003C001P003R006A006,003,006,001,006,003
S003C001P003R006A007,003,007,001,006,003
S003C001P003R006A008,003,008,001,006,003
S003C001P003R006A009,003,009,001,006,003
S003C001P003R006A010,003,010,001,006,003
S003C001P003R007A001,003,001,001,007,003
S003C001P003R007A002,003,002,001,007,003
S003C001P003R007A003,003,003,001,007,003
S003C001P003R007A004,003,004,001,007,003
S003C001P003R007A005,003,005,001,007,003
S003C001P003R007A006,003,006,001,007,003
S003C001P003R007A007,003,007,001,007,003
S003C001P003R007A008,003,008,001,007,003
S003C001P003R007A009,003,009,001,007,003
S003C001P003R007A010,003,010,001,007,003
S003C001P003R008A001,003,001,001,008,003
S003C001P003R008A002,003,002,001,008,003
S003C001P003R008A003,003,003,001,008,003
S003C001P003R008A004,003,004,001,008,003
S003C001P003R008A005,003,005,001,008,003
S003C001P003R008A006,003,006,001,008,003
S003C001P003R008A007,003,007,001,008,003
S003C001P003R008A008,003,008,001,008,003
S003C001P003R008A009,003,009,001,008,003
S003C001P003R008A010,003,010,001,008,003
S003C001P003R009A001,003,001,001,009,003
S003C001P003R009A002,003,002,001,009,003
S003C001P003R009A003,003,003,001,009,003
S003C001P003R009A004,003,004,001,009,003
S003C001P003R009A005,003,005,001,009,003
S003C001P003R009A006,003,006,001,009,003
S003C001P003R009A007,003,007,001,009,003
S003C001P003R009A008,003,008,001,009,003
S003C001P003R009A009,003,009,001,009,003
S003C001P003R009A010,003,010,001,009,003
S003C001P003R010A001,003,001,001,010,003
S003C001P003R010A002,003,002,001,010,003
S003C001P003R010A003,003,003,001,010,003
S003C001P003R010A004,003,004,001,010,003
S003C001P003R010A005,003,005,001,010,003
S003C001P003R010A006,003,006,001,010,003
S003C001P003R010A007,003,007,001,010,003
S003C001P003R010A008,003,008,001,010,003
S003C001P003R010A009,003,009,001,010,003
S003C001P003R010A010,003,010,001,010,003
S003C001P003R011A001,003,001,001,011,003
S003C001P003R011A002,003,002,001,011,003
S003C001P003R011A003,003,003,001,011,003
S003C001P003R011A004,003,004,001,011,003
S003C001P003R011A005,003,005,001,011,003
S003C001P003R011A006,003,006,001,011,003
S003C001P003R011A007,003,007,001,011,003
S003C001P003R011A008,003,008,001,011,003
S003C001P003R011A009,003,009,001,011,003
S003C001P003R011A010,003,010,001,011,003
S003C001P003R012A001,003,001,001,012,003
S003C001P003R012A002,003,002,001,012,003
S003C001P003R012A003,003,003,001,012,003
S003C001P003R012A004,003,004,001,012,003
S003C001P003R012A005,003,005,001,012,003
S003C001P003R012A006,003,006,001,012,003
S003C001P003R012A007,003,007,001,012,003
S003C001P003R012A008,003,008,001,012,003
S003C001P003R012A009,003,009,001,012,003
S003C001P003R012A010,003,010,001,012,003
S003C001P003R013A001,003,001,001,013,003
S003C001P003R013A002,003,002,001,013,003
S003C001P003R013A003,003,003,001,013,003
S003C001P003R013A004,003,004,001,013,003
S003C001P003R013A005,003,005,001,013,003
S003C001P003R013A006,003,006,001,013,003
S003C001P003R013A007,003,007,001,013,003
S003C001P003R013A008,003,008,001,013,003
S003C001P003R013A009,003,009,001,013,003
S003C001P003R013A010,003,010,001,013,003
S003C001P003R014A001,003,001,001,014,003
